coda magazine,4,3,0,0.00
cosmopolitan,4,3,0,0.00
cyrillomethodianum,4,3,0,0.00
daily news,4,4,0,0.00
dance,4,4,0,0.00
dance magazine,4,3,0,0.00
Decker,4,1,0,0.00
description of san marco,4,3,0,0.00
diapason harmonie,4,4,0,0.00
Dictionary of American Biography,4,3,0,0.00
Die Kaiserinnen Roms von Livia bis Theodora,4,4,0,0.00
Documenti e Studi Sulla Tradizone Filosofica Medievale,4,3,0,0.00
Dutkanicz,4,2,0,0.00
European Tributary States of the Ottoman Empire in the Sixteenth and Seventeenth Centuries,4,4,0,0.00
experimental cell research,4,3,0,0.00
farnham farnum families in america,4,4,0,0.00
ficino to campanella,4,3,0,0.00
fossils,4,3,0,0.00
Four Mongolian historical records,4,4,0,0.00
gershwin ewen,4,3,0,0.00
Gershwin Kendall,4,3,0,0.00
"Goya bis Picasso: Meisterwerke der Sammlung Jan Krugier und Marie-Anne Krugier-Poniatowski, 2005",4,3,0,0.00
guckler,4,4,0,0.00
Hair,4,3,0,0.00
hello world,4,4,0,0.00
Herrscherinnen und Nonnen,4,3,0,0.00
historia da musica brasileira,4,3,0,0.00
History of the Communist Party of Yugoslavia,4,4,0,0.00
Il secolo di ferro. Mito e realtà del secolo X,4,4,0,0.00
J 591.56 D,4,4,0,0.00
James Muldoon & Felipe Fernandez-Armesto,4,2,0,0.00
jazz hot,4,3,0,0.00
jazz journal international,4,4,0,0.00
journal of academic librarianship,4,3,0,0.00
Journal of home economics,4,4,0,0.00
journal of pathology,4,3,0,0.00
journal of the american,4,4,0,0.00
kierkegaard,4,4,0,0.00
knights of the fourth estate,4,4,0,0.00
Kobieta niepoznana na przestrzeni dziejów,4,4,0,0.00
"L’Égypte d’un architecte, Ambroise Baudry",4,1,0,0.00
Latviešu grāmata ārzemēs : 1920-1940,4,3,0,0.00
Leaving a doll's house : a memoir,4,3,0,0.00
Lyrl Clark Van Hyning,4,2,0,0.00
marriage across the color,4,4,0,0.00
marxism in the age of trump,4,2,0,0.00
maybe you should talk to someone,4,4,0,0.00
Mayröcker,4,3,0,0.00
Meisō chizu,4,2,0,0.00
merce cunningham,4,4,0,0.00
Miamachi painting,4,1,0,0.00
Mikhail Baryshnikov archive. Moving image materials.,4,2,0,0.00
minke prelat,4,4,0,0.00
modern genre theory,4,4,0,0.00
Monkey Puzzle Man,4,4,0,0.00
montana state architecture review,4,4,0,0.00
moriches,4,4,0,0.00
motor boating,4,4,0,0.00
musikerziehung,4,4,0,0.00
My brilliant friend,4,1,0,0.00
N'digoa,4,1,0,0.00
Natasha Richardson,4,1,0,0.00
Nelson riddle,4,1,0,0.00
neruda,4,1,0,0.00
new england descendants of the immigrant ralph farnum,4,3,0,0.00
new york review of books,4,4,0,0.00
